frame_timecode,frame_id,figure_index,fig_box_min_x,fig_box_min_y,fig_box_max_x,fig_box_max_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1.56,39,1,291.9009,124.175964,351.36832,327.21783,326.09467,138.60786,331.0503,136.61725,324.11243,133.63135,336.99704,145.57498,319.1568,134.62665,333.03253,164.48575,313.21005,157.51863,315.19232,178.42,306.2722,185.38712,322.1302,150.5515,317.17456,149.5562,327.0858,218.23212,305.28107,215.24622,325.10355,265.01138,308.25446,263.02078,326.09467,311.79062,314.20117,311.79062
1.6,40,1,288.08035,116.9468,352.33932,326.03592,326.14145,139.34921,332.07303,139.34921,326.14145,135.36656,336.02744,147.3145,320.20984,134.3709,333.06165,165.23643,308.34665,155.2798,318.23264,185.14967,292.52905,173.20172,320.20984,154.28415,314.27823,146.31885,327.13004,218.00655,304.39224,216.01521,325.15283,265.79834,309.33524,262.81134,326.14145,310.60315,314.27823,311.59882
1.64,41,1,288.41373,118.52896,353.9957,326.90372,325.6762,139.96465,331.6382,137.97063,325.6762,133.98259,337.60022,144.94968,319.7142,133.98259,336.60654,163.89284,308.78387,155.91678,340.5812,143.95268,296.8599,172.86592,319.7142,151.92874,311.7649,147.9407,327.66354,216.73428,304.80923,215.73727,324.68256,266.58472,308.78387,263.5937,325.6762,311.45007,313.75223,311.45007
1.68,42,1,288.48523,116.85123,352.4604,329.80005,325.97067,140.34558,331.96835,139.34583,324.97107,135.34679,336.9664,146.34413,319.973,135.34679,334.9672,166.33934,308.97726,155.34198,338.96564,144.34462,300.98038,173.33765,314.97495,147.3439,311.9761,147.3439,326.97028,219.3266,304.97882,216.32732,323.97144,265.31555,308.97726,265.31555,325.97067,311.3045,313.97534,311.3045
1.72,43,1,289.3452,116.08312,352.01556,332.39938,325.65424,139.50908,331.62283,138.51222,324.65945,134.52483,336.59668,146.48701,319.6856,135.52168,332.61758,166.424,307.7484,158.4492,338.5862,144.49332,289.8426,170.41139,329.6333,135.52168,312.72226,147.48387,327.64377,217.2633,304.7641,217.2633,323.6647,267.10577,308.7432,264.1152,325.65424,309.97028,312.72226,308.97342
1.76,44,1,290.32217,118.944336,352.04446,328.55792,325.66318,138.40845,330.64078,137.4103,324.66763,134.41582,337.6094,144.39742,318.69452,137.4103,335.61838,164.36061,308.73932,157.37349,316.7035,186.32013,298.7841,175.34038,320.68555,149.38821,312.7214,150.38637,326.6587,219.25941,304.75723,217.26309,324.66763,267.17108,308.73932,264.1766,325.66318,311.09012,313.71692,310.09198
1.8,45,1,288.39194,118.49462,352.31436,326.41275,324.8477,138.98656,330.84042,136.98734,323.8489,133.98853,336.83316,143.98459,318.85498,136.98734,335.83435,162.97711,310.86465,155.97986,340.8283,143.98459,302.87436,176.97159,319.85376,148.98262,314.8598,145.9838,326.84528,217.95546,304.87195,215.95624,324.8477,266.93616,308.8671,263.93735,325.8465,310.91885,313.86102,311.91846
1.84,46,1,291.20425,116.76393,351.31058,333.25568,324.21347,138.21358,330.12555,137.21591,323.22812,135.2206,336.03766,144.19952,318.30136,136.21826,334.06696,163.15501,310.41858,156.17142,317.316,187.09882,295.63834,174.12926,320.27206,151.18312,314.35995,146.19484,328.15488,218.0262,305.49182,217.02855,325.19882,266.91144,308.44788,263.91846,326.18417,309.81073,313.37463,310.80838
1.88,47,1,290.67157,117.20876,350.48065,329.55487,325.0618,138.64276,330.04587,137.64583,324.06497,134.65504,336.0268,143.62741,319.08087,135.65196,334.03314,162.56908,311.10635,155.59058,316.09042,187.49234,307.11908,181.51076,320.0777,151.60284,314.0968,148.61206,328.05225,216.4033,306.12225,216.4033,325.0618,266.24982,309.1127,264.25595,326.05862,311.11166,313.09998,311.11166
1.92,48,1,289.99902,120.67024,351.96704,324.20245,324.48123,140.12553,330.47812,139.12782,323.48175,135.137,336.47504,144.11635,318.4843,135.137,335.47556,163.07278,310.48846,157.08655,314.4864,186.02005,305.49103,183.02692,320.48328,151.1003,313.4869,150.1026,327.47968,216.94896,305.49103,215.95125,325.4807,265.8366,309.48895,264.8389,326.4802,309.7357,313.4869,310.7334
1.96,49,1,288.7799,118.91635,353.67725,324.95526,324.22385,140.31653,330.21436,138.32582,323.2254,135.33974,336.2049,144.29796,318.2333,136.3351,336.2049,163.20973,310.24594,156.24223,315.23807,185.10759,303.25702,175.15402,320.23016,151.26546,314.23962,148.27939,328.21753,215.96367,306.25226,214.9683,326.22067,265.7315,309.24753,262.74545,326.22067,312.5133,313.2412,311.51794
2.0,50,1,291.02667,118.38703,352.9179,332.32986,324.4679,138.88156,329.45914,137.88182,323.46967,134.88263,335.4486,144.87996,318.47842,135.88235,334.45035,160.87569,309.49423,156.87675,313.4872,178.87088,306.49948,182.8698,321.47318,148.87889,315.4837,144.87996,328.46088,213.86153,306.49948,213.86153,326.4644,264.8479,309.49423,263.84818,326.4644,312.83508,313.4872,312.83508
2.04,51,1,292.0025,119.11205,353.52142,332.9676,324.25034,138.59889,329.21152,138.59889,323.2581,134.6016,335.16498,144.59483,318.29688,135.60092,334.17273,163.58202,309.3667,157.58606,315.32016,176.57324,304.40552,176.57324,318.29688,146.59349,313.33566,148.59213,329.21152,214.54758,306.38998,214.54758,327.22705,264.51382,309.3667,263.5145,327.22705,310.4828,313.33566,313.48074
2.08,52,1,293.62656,121.30302,355.1805,329.91898,324.89993,139.76903,329.86395,138.77086,323.90714,134.77821,335.8208,143.76167,317.9503,135.77637,332.84238,162.72676,311.99347,154.74146,316.9575,178.69736,306.03662,183.68817,320.9287,147.75432,314.9719,142.7635,329.86395,211.63672,307.02942,210.63857,327.87836,265.5375,310.00784,262.543,326.88556,312.45114,312.98627,311.45297
2.12,53,1,293.95456,120.104576,354.39462,328.64722,325.1654,138.56409,330.1195,137.56628,323.18378,134.57285,336.06445,142.55534,318.22968,138.56409,335.0736,162.51157,313.27557,156.5247,317.23886,179.47437,308.32147,183.4656,320.2113,146.54659,316.24802,142.55534,330.1195,210.40652,307.33063,210.40652,327.14706,265.28616,310.3031,262.29272,327.14706,311.1855,314.2664,314.17892
2.16,54,1,294.95898,119.2018,354.39893,327.49158,325.1743,138.63553,330.12762,137.63893,323.19296,134.64912,336.07162,144.61514,317.24896,136.64233,334.09027,160.56078,314.27698,155.57776,314.27698,183.48262,308.33298,183.48262,319.2303,149.59816,314.27698,140.62874,330.12762,209.39426,307.34232,208.39766,328.14627,264.20737,310.3143,262.21417,327.1556,311.04764,313.2863,313.04086
2.2,55,1,291.26294,117.37391,351.9455,331.10776,324.5886,137.84842,330.55737,136.84966,322.599,133.8534,336.52615,143.84096,317.62503,135.8509,334.53656,159.82106,312.65106,154.82727,315.63544,185.78871,308.67188,185.78871,319.61462,149.8335,314.64066,139.84593,330.55737,209.75887,307.67706,209.75887,328.56778,263.6917,310.66147,262.69296,326.5782,311.63202,313.64584,312.63077
2.24,56,1,293.67053,118.48491,352.42273,328.1902,325.03824,137.95753,331.01303,136.95894,323.04663,133.96315,336.98782,143.94913,317.07184,136.95894,335.99203,159.92667,313.08862,152.9365,318.06763,185.89018,313.08862,139.95474,322.05084,148.94211,315.08023,137.95753,331.01303,211.85368,308.10962,211.85368,329.02142,264.7793,311.09705,261.7835,327.02982,310.71475,314.08444,312.71194
2.28,57,1,294.62296,118.3644,352.4849,328.06735,325.05035,138.8354,331.03607,137.83682,322.0575,133.84248,336.02417,143.82834,316.07178,136.83823,336.02417,159.8057,311.08368,155.81136,322.0575,182.77316,307.0932,182.77316,308.09082,182.77316,313.07892,139.83398,332.0337,210.73355,309.08844,210.73355,329.04083,264.65717,310.08606,261.6614,327.0456,311.5907,314.07654,312.58926
2.32,58,1,295.46445,116.30847,350.06888,329.15738,324.7523,139.79181,330.70914,138.79251,322.76666,135.79463,336.666,142.78967,316.8098,135.79463,335.67316,158.77832,311.84576,154.78116,321.77386,184.75989,307.87454,180.76273,313.8314,143.78897,312.8386,142.78967,331.70193,211.74072,309.86017,210.74144,329.7163,263.70383,310.85297,261.70526,326.73788,311.6698,313.8314,312.6691
2.36,59,1,291.99265,119.8424,352.59067,331.91852,325.27188,139.25781,330.23895,138.26216,322.29166,135.27516,336.1994,143.24046,315.3378,136.27083,336.1994,159.17107,307.3905,157.17975,327.2587,177.09299,305.4037,179.08432,320.30484,152.20143,312.35754,139.25781,332.22577,210.94553,309.37732,209.94986,329.2455,262.71997,311.36414,260.72864,327.2587,311.50745,313.35095,312.50308
2.4,60,1,292.3213,122.169426,353.1772,332.44736,325.74216,140.60611,330.73035,137.61638,322.74924,135.62323,336.71616,143.59586,315.76578,136.61981,337.7138,156.55136,308.78232,156.55136,325.74216,178.47607,307.78467,185.45212,313.7705,141.60269,312.77286,140.60611,332.72562,212.35973,309.77994,211.36314,329.7327,263.18518,311.77524,261.19205,326.73978,311.02094,313.7705,311.02094
2.44,61,1,292.8112,119.8912,352.8217,333.07126,325.76776,139.31648,330.68668,137.32414,321.83267,135.3318,335.60556,141.30882,313.96243,137.32414,337.57312,158.24368,307.076,157.24751,327.73532,177.17088,308.05975,177.17088,314.9462,142.305,311.99487,142.305,332.65424,211.04062,310.0273,210.04445,330.68668,264.8337,311.99487,260.84903,326.75156,313.64597,313.96243,312.6498
2.48,62,1,292.1656,119.175896,353.747,333.8574,326.43268,139.64552,330.40567,137.64848,322.4597,135.65146,335.37192,141.64256,314.51367,137.64848,337.3584,159.61589,305.57443,158.61737,329.4124,176.59071,306.5677,176.59071,328.41916,149.6307,323.4529,176.59071,333.3854,211.53886,310.54068,209.54182,330.40567,264.46033,312.5272,261.46478,326.43268,314.38626,314.51367,313.38776
